"movie_id","referenced_id","type"
"23455","22548",\N
"23817","22542",\N
"23821","11",\N
"23821","984",\N
"23824","7340",\N
"23825","9552",\N
"7248","2367","SpinOff"
"10754","20327","SpinOff"
"24726","20328","SpinOff"
"24769","1781",\N
"24900","1708","SpinOff"
"24900","2164","SpinOff"
"24900","1706","SpinOff"
"25231","9277","SpinOff"
"9511","6076",\N
"21454","11604","Remake"
"9473","3992","SpinOff"
"15702","3992","SpinOff"
"15703","3992","SpinOff"
"14727","348","SpinOff"
"25018","11031",\N
"26045","2161","Remake"
"24","26058","Influence"
"25164","22583",\N
"25164","22586",\N
"25164","25110",\N
"25164","25161",\N
"25164","22625",\N
"25164","22633",\N
"26062","630",\N
"391","11878","Remake"
"22757","238",\N
"10925","10331",\N
"15519","12856",\N
"22734","18706","SpinOff"
"15520","1709",\N
"15522","15630",\N
"26626","1891","Influence"
"20244","12856",\N
"26703","807","Influence"
"26703","1949","Influence"
"26703","656","Influence"
"26703","155",\N
"27094","20321",\N
"27094","6844",\N
"27094","14755",\N
"21800","230","Influence"
"21800","100","Influence"
"26692","24",\N
"21394","10947","Influence"
"27473","6576","SpinOff"
"27473","11608","Influence"
"27595","24679",\N
"27627","1640","SpinOff"
"27836","27832",\N
"27872","2501","Influence"
"27872","2504","Influence"
"27872","9322","Influence"
"21468","5548","Influence"
"21468","557","Influence"
"3026","3006",\N
"3026","3006","Influence"
"3026","3017","Remake"
"28252","787","SpinOff"
"27337","14550","Remake"
"28388","11882","Remake"
"28022","6914","Influence"
"28616","5961",\N
"28451","27313","Influence"
"27559","11136","Influence"
"1090","25644","Remake"
"11234","19108","Remake"
"16203","11683",\N
"29588","11797","Remake"
"87","29593","Influence"
"29634","10528",\N
"16803","2495","SpinOff"
"23236","8363","Influence"
"23236","557","Influence"
"23236","2883","Influence"
"21315","279",\N
"21305","11",\N
"27055","10",\N
"21945","7340",\N
"21953","8989",\N
"26301","10530","Influence"
"26301","581","Influence"
"21103","97",\N
"21959","21803",\N
"22993","2150","SpinOff"
"30127","244","Influence"
"29637","694",\N
"4824","4909","Remake"
"30408","2924","Parody"
"18932","194",\N
"21213","4547",\N
"30634","30633",\N
"16203","923",\N
"16203","10331",\N
"16203","10331","SpinOff"
"30396","923","SpinOff"
"28382","87","Influence"
"30118","254",\N
"15109","11634","Influence"
"15109","1906","Influence"
"15109","10373","Influence"
"27199","30276","Influence"
"31278","764","Influence"
"23271","2196","Remake"
"23318","1885","SpinOff"
"31370","348","Influence"
"31474","20299","Influence"
"31476","20299","Influence"
"31536","6576","SpinOff"
"14324","32056",\N
"32113","32108","SpinOff"
"32109","32108","SpinOff"
"32110","32108","SpinOff"
"32142","14249",\N
"20829","32072","SpinOff"
"32159","6742","Influence"
"32360","14464","Remake"
"32361","14484","Remake"
"32362","14483","Remake"
"32363","14482","Remake"
"32364","14481","Remake"
"32365","14516","Remake"
"32366","14515","Remake"
"32367","14478","Remake"
"32772","1671","SpinOff"
"32772","1671","Influence"
"32886","1759","SpinOff"
"32272","9325","SpinOff"
"19649","32040",\N
"32926","32133",\N
"32926","32133","SpinOff"
"32978","11298","SpinOff"
"27790","33009",\N
"20674","106","SpinOff"
"31379","14756","Influence"
"20311","33528","Remake"
"33545","1797","Influence"
"23318","8580","Remake"
"33948","161","Influence"
"33948","9277","Influence"
"33986","11471","SpinOff"
"33986","15756","SpinOff"
"32922","14171","SpinOff"
"34051","954",\N
"34060","603","Parody"
"32057","14171","Influence"
"32057","807","Influence"
"34087","497","Parody"
"34099","680","Parody"
"34164","11544","SpinOff"
"34172","12720",\N
"25683","9870","SpinOff"
"33244","33244","Influence"
"34200","34159","Influence"
"34200","9387","Influence"
"34200","33244","Influence"
"34200","9626","Influence"
"34202","34200","Influence"
"34202","33244","Influence"
"34202","9387","Influence"
"34200","34202",\N
"34212","33244","Influence"
"34212","34200","Influence"
"34349","12311",\N
"34349","11085",\N
"34349","12311",\N
"34417","34200","Influence"
"34417","34202","Influence"
"34458","34200","Influence"
"34458","34202","Influence"
"34458","34417","Influence"
"34458","9387","Influence"
"34458","9610","Influence"
"34458","9626","Influence"
"34545","871","SpinOff"
"34578","4922","Influence"
"8262","137","Influence"
"34611","11856","SpinOff"
"34715","5033","SpinOff"
"17165","628","Influence"
"34874","812","SpinOff"
"34874","11238",\N
"34913","657","Influence"
"34918","11175","SpinOff"
"34920","11688","SpinOff"
"34920","13327","SpinOff"
"35026","10336",\N
"35130","17165","Parody"
"35130","8966","Parody"
"35130","15063","Parody"
"35130","12843","Parody"
"35130","10206","Parody"
"35159","35162","SpinOff"
"35153","9312",\N
"35202","11848","Influence"
"33295","21803",\N
"35335","32929",\N
"24177","33694","Remake"
"35397","12137","SpinOff"
"35397","21918","SpinOff"
"21918","12137","SpinOff"
"16206","12946","SpinOff"
"16206","16168",\N
"35398","550",\N
"35487","447","Influence"
"35487","447",\N
"35487","447","Homage"
"35495","35437","SpinOff"
"35498","1654","SpinOff"
"35498","1654",\N
"35500","1654","SpinOff"
"35501","1654","SpinOff"
"35532","1250","SpinOff"
"35534","35514","SpinOff"
"35703","35059","Influence"
"35723","4561","Influence"
"27170","16891","SpinOff"
"35839","35837","SpinOff"
"35839","35701","SpinOff"
"21586","17711","SpinOff"
"35885","871","Influence"
"10320","9669","Remake"
"35921","1103",\N
"35921","1103","Influence"
"35947","826","Influence"
"9664","35950","Influence"
"35954","578","Influence"
"36151","343","Influence"
"32056","807","Influence"
"32056","274","Influence"
"36224","14171","Homage"
"27100","14171","Homage"
"34516","14171","Parody"
"4780","426","Homage"
"32268","14171","Parody"
"36715","10671","Parody"
"603","9323","Influence"
"36999","6609",\N
"36999","391",\N
"36999","938",\N
"36999","335",\N
"36999","24",\N
"36999","393",\N
"36999","5636",\N
"36999","9028",\N
"36999","10772",\N
"10946","37052","Influence"
"37111","4561","Remake"
"37353","36693",\N
"37406","22904","SpinOff"
"320","37220","Remake"
"25358","13496","Remake"
"10929","37659","Remake"
"37800","9282","Influence"
"37840","280","SpinOff"
"37559","13496","Remake"
"19149","22733","Influence"
"38004","84","SpinOff"
"1958","38047","Remake"
"12536","771","Influence"
"38400","2148",\N
"39041","9323","Remake"
"7975","39550","Remake"
"39904","18235",\N
"39904","15",\N
"39904","8374",\N
"39904","2667",\N
"39914","1945","Influence"
"39912","11643","Remake"
"39918","164",\N
"9511","39927","Remake"
"40430","23112",\N
"13546","680",\N
"40586","26289","SpinOff"
"26289","40586","SpinOff"
"40993","218",\N
"7570","1621",\N
"41928","35689","SpinOff"
"41961","8393","SpinOff"
"42275","42250","SpinOff"
"42275","42250",\N
"42501","78",\N
"37278","14582","SpinOff"
"15205","1681","Influence"
"15205","1678","Homage"
"42664","27550",\N
"42331","42679","Remake"
"42331","42679",\N
"11699","12143","Remake"
"31039","1730",\N
"42833","9443","Parody"
"42833","11257","Parody"
"42833","8293","Parody"
"30168","10533",\N
"30168","2028",\N
"5937","16002",\N
"26323","16011",\N
"18450","16011",\N
"28486","16011",\N
"20034","16011",\N
"24468","954",\N
"18086","954",\N
"11918","954",\N
"10982","954",\N
"809","954",\N
"24781","954",\N
"22599","954",\N
"4327","954",\N
"7707","954",\N
"43184","8265","Remake"
"9947","9480","SpinOff"
"4933","41365","Remake"
"43535","2292","Influence"
"43535","4488","Influence"
"43535","747","Influence"
"43607","24484",\N
"43631","43627",\N
"43694","3035","Influence"
"43694","11815","Influence"
"43699","43687",\N
"43699","43687","Influence"
"43699","43684",\N
"18746","954",\N
"37000","843",\N
"37000","11171",\N
"37000","164",\N
"818","658","Parody"
"44171","44170",\N
"44245","44246","Remake"
"13861","15470",\N
"44374","44376","Parody"
"44883","22","Parody"
"45073","35949","SpinOff"
"45100","963","Parody"
"45100","289","Parody"
"45406","45404","Influence"
"44190","44194","SpinOff"
"45697","45699","Remake"
"45828","12843","Influence"
"8442","46146","Influence"
"8442","46146",\N
"46427","759",\N
"46427","239",\N
"46501","12721","SpinOff"
"46604","11797","Remake"
"14764","36863","SpinOff"
"14764","46764","SpinOff"
"14764","36842","SpinOff"
"14764","17476","SpinOff"
"47207","46501","SpinOff"
"47208","12721","SpinOff"
"47208","14804","SpinOff"
"47208","10222","SpinOff"
"47208","46501","SpinOff"
"47211","10557",\N
"47225","21772","SpinOff"
"47662","47169",\N
"48182","501",\N
"48182","2000",\N
"48182","9343",\N
"48182","11900",\N
"48182","8672",\N
"48170","11104",\N
"48172","11305",\N
"48172","308",\N
"48172","922",\N
"48172","1554",\N
"48172","469",\N
"48172","14788",\N
"48172","883",\N
"48172","4816",\N
"48170","11220",\N
"48178","500",\N
"48178","680",\N
"48178","184",\N
"48178","24",\N
"48178","393",\N
"48178","1991",\N
"48178","755",\N
"48178","1992",\N
"48178","187",\N
"48715","591","Influence"
"22986","48471","Remake"
"47787","9315","Influence"
"48307","755","Influence"
"48970","48412","Influence"
"14444","591",\N
"49119","20694",\N
"49205","35267",\N
"49204","35267",\N
"49204","35267","SpinOff"
"49205","35267","SpinOff"
"49296","106",\N
"49980","155","Parody"
"49988","6342","Influence"
"50166","381","Remake"
"6451","10695",\N
"37601","147",\N
"37601","1626",\N
"37601","255",\N
"37601","258",\N
"37601","269",\N
"37601","259",\N
"37601","2786",\N
"37601","4710",\N
"37601","1628",\N
"37601","33741",\N
"37601","1818",\N
"37601","1629",\N
"37601","1675",\N
"37601","266",\N
"44821","1878",\N
"50890","660",\N
"50892","11819","Remake"
"41770","3529","Remake"
"51554","51553","SpinOff"
"51582","51581",\N
"51584","51581",\N
"51584","51582",\N
"52160","207","Homage"
"52260","15739","Remake"
"52426","2341","Remake"
"52426","2341","SpinOff"
"762","53607","SpinOff"
"11949","53607","SpinOff"
"583","53607","SpinOff"
"9267","53607","Remake"
"9267","53607","SpinOff"
"4543","53607","SpinOff"
"9886","54115",\N
"50912","10772","Homage"
"54275","9312",\N
"54457","34667","Influence"
"54480","30859","Influence"
"54480","54469","Influence"
"34103","348",\N
"54783","54782","SpinOff"
"54825","12154","Remake"
"55045","4024","Influence"
"55048","88","Remake"
"55193","31828","Influence"
"55383","105","Influence"
"55383","18648","Influence"
"55463","576","Remake"
"55468","78",\N
"55532","3685",\N
"55668","202","Remake"
"55702","33481",\N
"55844","1551","Remake"
"56005","9326",\N
"18248","10673",\N
"56157","4011",\N
"56448","671","Parody"
"56448","674","Parody"
"56459","673","Parody"
"56459","675","Parody"
"56459","12445","Parody"
"56448","767","Parody"
"33952","18929","Influence"
"56835","14519","Influence"
"57032","14519","Influence"
"815","11848","Remake"
"57050","23960",\N
"57068","2312",\N
"57076","43853","Remake"
"57078","11815","Remake"
"57078","9426",\N
"57104","32045","Remake"
"57334","48829",\N
"56837","56824","Remake"
"56824","56837","Remake"
"57532","54423","SpinOff"
"57532","51831","SpinOff"
"32099","42531",\N
"57667","9285","Influence"
"43865","19474",\N
"43865","21786",\N
"43865","47715",\N
"31588","44232","Remake"
"57824","1880","Remake"
"38148","4488","Remake"
"57851","32104","SpinOff"
"57855","33217","SpinOff"
"57919","55618","SpinOff"
"57919","54195",\N
"57923","11198","SpinOff"
