"person_id","name"
"2740","Liselotte Eder"
"2746","Elia Kazanjioglou"
"2753","Burl Icle Ivanhoe Ives"
"2765","Raymond Nicholas Kienzle Jr."
"2778","Dennis Lee Hopper"
"2782","Ian MacWolfe"
"2782","Ian Wolf"
"2782","Ian Wulf"
"2797","Bernhard Ette"
"2798","Walter Ruttmann"
"2814","Aleksander Scibor-Rylski"
"2829","Andrezej Seweryn"
"2835","T. Sosna-Sarno"
"2838","Chloë Stevens Sevigny"
"2887","Thomas Alan Waits"
"2888","Williard Christopher Smith"
"2888","Willard Christopher Smith Jr."
"2891","Jonas Sternberg"
"2895","Theodor Friedrich Emil Janez"
"2896","Marie Magdalene Dietrich"
"2897","Kurt Gerson"
"2898","Rosa Vallentin"
"2903","Reinholdt Bernt"
"2907","Rolant Varno"
"2908","Karl Balhaus"
"2911","Karl Huszar-Puffy"
"2920","Ted Kent"
"2926","Elsa Lancaster"
"2932","O. P. Heggie"
"2950","Bob Elswit"
"2955","Christopher W. Cooper"
"2963","Nicholas Kim Coppola"
"2969","Christopher Penn"
"2975","Lawrence Fishburne"
"2975","Laurence John Fishburne III"
"2975","Larry Fishburne"
"2984","Bedria Timimi"
"2984","Badria Timini"
"3000","Werner Krauss"
"3001","Conrad Veit"
"3027","Richard Bachman"
"3027","John Swithen"
"3028","Bruce Evans"
"3033","Richard William Wheaton III"
"3033","shit"
"3035","Jeremiah O'Connell"
"3035","Jerry O`Connell"
"3036","John Paul Cusack"
"3045","P.J. Hogan"
"3051","Antonia Collette"
"3062"," Dan Wyllie "
"3069","Thérèse Bradley"
"3092","Diane Hall"
"3099","William H. Reynolds"
"3110","Mary Allison Anders"
"3125","Madonna Louise Veronica Ciccone"
"3129","Timothy Simon Smith"
"3131","José Antonio Domínguez Banderas"
"3131","Antonio Bandera"
"3136","Salma Hayek Jiménez"
"3136","Salma Hayek Pinault"
"3146","Samuel Wilder"
"3146","Billie Wilder"
"3148","Charles B. Lang"
"3149","Norma Jean Baker"
"3150","Bernhard Schwartz"
"3151","Jack Uhler Lemmon III"
"3155","Pat O’Brian"
"3169","Edward G. Robinson"
"3169","Edward G. Robinson junior"
"3171","Israel Lee Strasberg"
"3173","G. D. Spradlin"
"3195","Woodrow Tracy Harrelson"
"3218","Louis Lombardi"
"3223","Robert Downey junior"
"3239","Ernest B. Schoedesack"
"3253","Kenneth Peach Sr."
"3253","Kenneth D. Peach"
"3253","Kenny Peach"
"3253","Ken Peach"
"3265","Eli Herschel Wallach"
"3270","Natasha Wagner"
"3291","Hugh John Mungo Grant"
"3293","Rachel Hannah Weisz"
"3314","Damon Gough"
"3317","Beat Takeshi"
"3317","Kitano Takeshi"
"3317","北野 武"
"3317","ビートたけし"
"3339","Elisha Vanslyck Cook junior"
"3341","Joseph Sawyer"
"3359","Sir Laurence Olivier"
"3359","Laurence Kerr Olivier"
"3359","Laurence Olivier"
"3360","Joan de Beauvoir de Havilland"
"3362","Frances Margaret Anderson-Anderson"
"3362","Dame Judith Anderson"
"3363","William Nigel Bruce"
"3374","Charles Arthur Noyes"
"3374","Charles Noyes"
"3374","C. A. Noyes"
"3380","Ruth Elizabeth Davis"
"3381","Gwyllyn Samuel Newton Ford"
"3391","Mary Kathleen Turner"
"3392","Michael Kirk Douglas"
"3416","Demetria Gene Guynes"
"3428","Howard W. Koch"
"3431","Bruce Rubin"
"3434","Alma L. Beltran"
"3434","Alma Lenore Beltran"
"3434","Alma Leonor Beltran"
"3482","María Jesús Lampreave Pérez"
"3486","Archie E. Marshek"
"3498","Bill Johnson"
"3507","Claude Marcelle Jorré"
"3511","Maxime Louis Charles Dichamp"
"3556","Rajmund Roman Liebling"
"3559","Robert Benmussa"
"3572","Hiroko Matsumoto"
"3581","Philippe Leotard"
"3591","Danièle Graule"
"3609","Friedrich Robert Donath"
"3610","Marie-Madeleine Bernadette O'Carroll"
"3618","Dario Grandinetti"
"3627","Paz Campo Trigo"
"3632","Ruben Sax"
"3634","Thomas Lanier Williams"
"3635","Dame Elizabeth Rosemond Taylor"
"3636","Paul Leonard Newman"
"3639","Madeleine Thornton-Sherwood"
"3643","Ferris Webster"
"3646","Dr. Wesley C. Miller"
"3658","Robert Greenhut"
"3678","Desiree Mary Lucy Hawkins"
"3678","Elizabeth Earl"
"3684","Gordon Liu"
"3684","Ka-fai Lau"
"3684","Gordon Li"
"3684","Ka Fei Lau"
"3684","Ka Fai Lau"
"3684","Gordon"
"3684","Gordon Liu"
"3688","Courtney Taylor-Taylor"
"3711","Anna Thomson"
"3742","Heinrich Scharfmeister"
"3772","Liese-Lotte Helene Berta Bunnenberg"
"3778","Carlo Fortunaro Pietro Ponti"
"3784","Jacques Daniel Michel Piccoli"
"3785","Volodymyr Palahniuk"
